,setup,model,mse,predictors,correlation,sens,spec,prec,params
3302,CCR4_prom,composite,0.22593666228523457,3,,,,,Vote threshold=0.5
434,CDC14A_body,composite,1.1079703205357316,2,,,,,Vote threshold=0.5
3308,CDC14A_prom,composite,0.99681151520276368,4,,,,,Vote threshold=0.5
440,CDC20_body,composite,0.62078378074886287,7,,,,,Vote threshold=0.5
3314,CDC20_prom,composite,0.6033247781412675,8,,,,,Vote threshold=0.5
446,CDC25A_body,composite,0.36518145970789062,6,,,,,Vote threshold=0.5
3320,CDC25A_prom,composite,0.49495584498351874,9,,,,,Vote threshold=0.5
452,CDC25C_body,composite,0.61461010876208477,10,,,,,Vote threshold=0.5
3326,CDC25C_prom,composite,0.68653180640488876,8,,,,,Vote threshold=0.5
458,CDC27_body,composite,0.13586950642895518,5,,,,,Vote threshold=0.5
3332,CDC27_prom,composite,0.12875628634951494,4,,,,,Vote threshold=0.5
464,CDC5L_body,composite,0.24683367267501619,3,,,,,Vote threshold=0.5
3338,CDC5L_prom,composite,0.25168744248662261,3,,,,,Vote threshold=0.5
470,CDC6_body,composite,1.2755923280732082,8,,,,,Vote threshold=0.5
3344,CDC6_prom,composite,1.1337389447661292,13,,,,,Vote threshold=0.5
476,CDC7_body,composite,0.90183681564030849,6,,,,,Vote threshold=0.5
3350,CDC7_prom,composite,0.82093658078255316,7,,,,,Vote threshold=0.5
482,CDH1_body,composite,1.4269637807772089,10,,,,,Vote threshold=0.5
3356,CDH1_prom,composite,1.3278557911643356,10,,,,,Vote threshold=0.5
488,CDH6_body,composite,0.35027049934471011,8,,,,,Vote threshold=0.5
3362,CDH6_prom,composite,0.30402137981458693,8,,,,,Vote threshold=0.5
494,CDH8_body,composite,0.40552144101949456,3,,,,,Vote threshold=0.5
3368,CDH8_prom,composite,0.40744711119295401,3,,,,,Vote threshold=0.5
500,CDK2_body,composite,0.35406014384741435,7,,,,,Vote threshold=0.5
506,CDK5R1_body,composite,0.32541057275801133,3,,,,,Vote threshold=0.5
3374,CDK5R1_prom,composite,0.35850140930243224,3,,,,,Vote threshold=0.5
512,CDK6_body,composite,0.55141395018294215,15,,,,,Vote threshold=0.5
3380,CDK6_prom,composite,0.70855196541926679,10,,,,,Vote threshold=0.5
518,CDKL1_body,composite,0.26362966417637984,3,,,,,Vote threshold=0.5
3386,CDKL1_prom,composite,0.24390924611705639,2,,,,,Vote threshold=0.5
524,CDKL2_body,composite,1.1892111241361705,5,,,,,Vote threshold=0.5
3392,CDKL2_prom,composite,0.56498039417887314,7,,,,,Vote threshold=0.5
530,CDT1_body,composite,0.44455759554014179,13,,,,,Vote threshold=0.5
3398,CDT1_prom,composite,0.57705123122321045,16,,,,,Vote threshold=0.5
536,CEACAM5_body,composite,3.0610813299972883,17,,,,,Vote threshold=0.5
3404,CEACAM5_prom,composite,3.0353308363243974,16,,,,,Vote threshold=0.5
542,CENPA_body,composite,0.87088985682446496,11,,,,,Vote threshold=0.5
3410,CENPA_prom,composite,0.8716277871543251,9,,,,,Vote threshold=0.5
548,CENPE_body,composite,0.7519389720920846,7,,,,,Vote threshold=0.5
3416,CENPE_prom,composite,0.80698741253960193,9,,,,,Vote threshold=0.5
554,CENPF_body,composite,0.87629140771900327,6,,,,,Vote threshold=0.5
3422,CENPF_prom,composite,0.92978152618328791,5,,,,,Vote threshold=0.5
560,CENPI_body,composite,0.59887958276804054,9,,,,,Vote threshold=0.5
3428,CENPI_prom,composite,0.74632581460368574,5,,,,,Vote threshold=0.5
566,CEP152_body,composite,0.3068885150376468,22,,,,,Vote threshold=0.5
3434,CEP152_prom,composite,0.27060562006127414,14,,,,,Vote threshold=0.5
572,CFTR_body,composite,0.73329699772589352,6,,,,,Vote threshold=0.5
3440,CFTR_prom,composite,0.78832528761775644,6,,,,,Vote threshold=0.5
578,CHAF1A_body,composite,0.28621938960357679,4,,,,,Vote threshold=0.5
3446,CHAF1A_prom,composite,0.27794496330605317,5,,,,,Vote threshold=0.5
584,CHAF1B_body,composite,0.83053045504607526,7,,,,,Vote threshold=0.5
3452,CHAF1B_prom,composite,0.86940204032966695,6,,,,,Vote threshold=0.5
590,CHEK1_body,composite,0.60352486814315587,5,,,,,Vote threshold=0.5
3458,CHEK1_prom,composite,0.66812384875906006,7,,,,,Vote threshold=0.5
596,CHRNA6_body,composite,0.57765766789357909,5,,,,,Vote threshold=0.5
3464,CHRNA6_prom,composite,0.62823291028617811,7,,,,,Vote threshold=0.5
602,CHUK_body,composite,0.29194769599075759,3,,,,,Vote threshold=0.5
3470,CHUK_prom,composite,0.27951674522303543,3,,,,,Vote threshold=0.5
