,setup,model,mse,predictors,correlation,sens,spec,prec,params
47,AFF2_body,enet,0.50648123515903365,4,,,,,"alpha=0.04, l1_ratio=0.99"
48,AFF2_body,grace,0.50671257612894094,479,,,,,"lambda 1=10.0, lambda 2=0.01"
49,AFF2_body,lasso,0.50645915910815142,4,,,,,alpha=0.04
2441,AFF2_prom,agrace,0.50947810859395404,468,,,,,"lambda 1=10.0, lambda 2=0.01"
2440,AFF2_prom,composite,0.5101857601322185,4,,,,,"Vote threshold=0.5, Zero threshold=0.0001"
2442,AFF2_prom,enet,0.51314563884598363,4,,,,,"alpha=0.04, l1_ratio=0.99"
2443,AFF2_prom,grace,0.50947784234191962,468,,,,,"lambda 1=10.0, lambda 2=0.01"
2444,AFF2_prom,lasso,0.51358482151144502,4,,,,,alpha=0.04
51,AFF3_body,agrace,0.86952299016965218,479,,,,,"lambda 1=10.0, lambda 2=0.01"
50,AFF3_body,composite,0.84661166477812599,12,,,,,"Vote threshold=0.5, Zero threshold=0.0001"
52,AFF3_body,enet,0.91847116448747457,9,,,,,"alpha=0.04, l1_ratio=0.99"
53,AFF3_body,grace,0.86951505191437328,479,,,,,"lambda 1=10.0, lambda 2=0.01"
54,AFF3_body,lasso,0.92242648475722699,9,,,,,alpha=0.04
2446,AFF3_prom,agrace,0.9277467846608215,468,,,,,"lambda 1=10.0, lambda 2=0.01"
2445,AFF3_prom,composite,0.60261546433133928,11,,,,,"Vote threshold=0.5, Zero threshold=0.0001"
2447,AFF3_prom,enet,1.0259761235739895,9,,,,,"alpha=0.04, l1_ratio=0.99"
2448,AFF3_prom,grace,0.92776319136089502,468,,,,,"lambda 1=10.0, lambda 2=0.01"
2449,AFF3_prom,lasso,1.0281879356565771,9,,,,,alpha=0.04
56,AHSG_body,agrace,0.13023245443288259,479,,,,,"lambda 1=10.0, lambda 2=0.01"
55,AHSG_body,composite,0.13703257205625755,9,,,,,"Vote threshold=0.5, Zero threshold=0.0001"
57,AHSG_body,enet,0.12713454038927988,9,,,,,"alpha=0.04, l1_ratio=0.99"
58,AHSG_body,grace,0.13022249364258787,479,,,,,"lambda 1=10.0, lambda 2=0.01"
59,AHSG_body,lasso,0.13003404856774053,5,,,,,alpha=0.04
2451,AHSG_prom,agrace,0.14953966884851386,468,,,,,"lambda 1=10.0, lambda 2=0.01"
2450,AHSG_prom,composite,0.15415563561905632,7,,,,,"Vote threshold=0.5, Zero threshold=0.0001"
2452,AHSG_prom,enet,0.1456974897686705,7,,,,,"alpha=0.04, l1_ratio=0.99"
2453,AHSG_prom,grace,0.14953742904137463,468,,,,,"lambda 1=10.0, lambda 2=0.01"
2454,AHSG_prom,lasso,0.1527602082742312,6,,,,,alpha=0.04
61,AKAP6_body,agrace,0.33382028972203898,479,,,,,"lambda 1=10.0, lambda 2=0.01"
60,AKAP6_body,composite,0.33962449958545698,4,,,,,"Vote threshold=0.5, Zero threshold=0.0001"
62,AKAP6_body,enet,0.33299000709615229,2,,,,,"alpha=0.04, l1_ratio=0.99"
63,AKAP6_body,grace,0.33382001076983403,479,,,,,"lambda 1=10.0, lambda 2=0.01"
64,AKAP6_body,lasso,0.33292856604461857,2,,,,,alpha=0.04
2456,AKAP6_prom,agrace,0.33277406436229645,468,,,,,"lambda 1=10.0, lambda 2=0.01"
2455,AKAP6_prom,composite,0.336677972401634,3,,,,,"Vote threshold=0.5, Zero threshold=0.0001"
2457,AKAP6_prom,enet,0.33226872370720412,3,,,,,"alpha=0.04, l1_ratio=0.99"
2458,AKAP6_prom,grace,0.33277410683050651,468,,,,,"lambda 1=10.0, lambda 2=0.01"
2459,AKAP6_prom,lasso,0.33233136527231316,3,,,,,alpha=0.04
66,AKT2_body,agrace,0.17469875497968593,479,,,,,"lambda 1=10.0, lambda 2=0.01"
65,AKT2_body,composite,0.16193280465656135,3,,,,,"Vote threshold=0.5, Zero threshold=0.0001"
67,AKT2_body,enet,0.17842200923864932,2,,,,,"alpha=0.04, l1_ratio=0.99"
68,AKT2_body,grace,0.17469878963464994,479,,,,,"lambda 1=10.0, lambda 2=0.01"
69,AKT2_body,lasso,0.17852754495892498,2,,,,,alpha=0.04
2461,AKT2_prom,agrace,0.17834795539923795,468,,,,,"lambda 1=10.0, lambda 2=0.01"
2460,AKT2_prom,composite,0.16953318433269757,1,,,,,"Vote threshold=0.5, Zero threshold=0.0001"
2462,AKT2_prom,enet,0.1812689787898967,2,,,,,"alpha=0.04, l1_ratio=0.99"
2463,AKT2_prom,grace,0.17834790065233236,468,,,,,"lambda 1=10.0, lambda 2=0.01"
2464,AKT2_prom,lasso,0.1813844524902779,1,,,,,alpha=0.04
71,ALB_body,agrace,0.92741664523069789,479,,,,,"lambda 1=10.0, lambda 2=0.01"
70,ALB_body,composite,0.89819315762840535,10,,,,,"Vote threshold=0.5, Zero threshold=0.0001"
72,ALB_body,enet,0.93769408709974722,10,,,,,"alpha=0.04, l1_ratio=0.99"
73,ALB_body,grace,0.92740646980270969,479,,,,,"lambda 1=10.0, lambda 2=0.01"
74,ALB_body,lasso,0.94161134758990006,7,,,,,alpha=0.04
