,lasso,enet,grace,linf,composite
APOBEC1,0.66283499521976574,0.66459223269942569,0.6663830342688809,0.705486960055137,0.68743295459211284
APOB,0.1315632251459814,0.11969827792222099,0.12921367085385449,0.13008925078479458,0.13005536271868523
ARHGAP11A,0.90078358115668133,0.89906057813751117,0.9018746873687421,0.86035945002943115,0.88764183990161505
ARHGEF12,0.22504211650273098,0.22545290226831222,0.22629337706771938,0.17015243285047901,0.23521792063158412
ARHGEF16,0.50763914842791025,0.50721167523237043,0.50667482817501486,0.47395266048523305,0.50585234075624097
ART1,0.1926689223986037,0.19160848933750085,0.19042898451877507,0.17820728555629689,0.18575480550179435
ARVCF,0.20142309294996188,0.20134034925329855,0.20136697199687326,0.17995038968580787,0.20506402839255283
AR,1.9459579503244089,1.931934943742929,1.8735359435673018,3.1478519395289557,1.7574546493941858
ASCL1,1.8546367270457151,1.8398936405324806,1.8229841208747517,1.8714382989989178,1.8006171819531334
ASF1B,0.44802751213949576,0.44573663788042395,0.45035499304876558,0.4216794178587851,0.46621486568121107
ASIP,0.36209026415270495,0.35610190591971169,0.34705704549915783,0.30346473823999681,0.34187890558495515
ASPM,0.90644353684607271,0.91187537428107179,0.8816987734896029,0.85212960894882073,0.89713092575838904
ATF7,0.11584564572182333,0.11626077246166043,0.11635508541816149,0.11750736331489266,0.12768308386925681
ATP2B2,0.30104393634045323,0.30037229876988014,0.30004735787655057,0.31906471912038975,0.30038611705226498
ATP4B,0.26269995512853911,0.26188696377376891,0.26038079858714069,0.25626420161594304,0.26501402466710905
ATP6V0A2,0.21581188242802507,0.21573557256629106,0.21559467745906355,0.1754609669356372,0.21701758525725248
ATP8A2,1.3205379549744205,1.3144588037986298,1.2998626785836664,1.2979696981443258,1.3480793962576367
ATXN3,0.13807521261245348,0.13855198822061385,0.1395942049545463,0.1441357233449401,0.14526088552159505
AURKB,0.63221065898963424,0.63321142795830265,0.63343182941422438,0.60007405079510556,0.63215574144221254
AVPR1A,0.44627325759837433,0.44907699491957787,0.45152149835101696,0.43741826104542364,0.48544130878354336
B4GALNT1,0.56954130409169779,0.5679784830225475,0.557344003533773,0.52116308849677018,0.5682410117404556
B4GALT6,0.29464477537171718,0.29372063250647917,0.2916874140728824,0.27450745186254422,0.2875192221179792
BARX2,0.81356220134220592,0.81335586970132201,0.81171281150199071,0.80245543719189938,0.80759190448618179
BCL2,1.5563233163344188,1.5338187659525688,1.4030753173917405,1.9556168839078305,1.1740168288391639
