,lasso,enet,grace,linf,composite
EPHB2,0.51982129499347351,0.50964625738202607,0.48815662557799905,0.38424680182086213,0.43636744980653402
EPHB3,0.56802000369987715,0.55107876972806991,0.55542568529770275,0.56585533261259513,0.53361897209046083
EPYC,1.5640932144722663,1.5566789689906659,1.5626249467629663,1.5359836546947487,1.5850456082748752
ERBB3,0.53473297920657026,0.50177542460168567,0.45673129278150149,0.37003347069540587,0.30785219928005986
ERBB4,1.3071315320704198,1.285047392267316,1.2297073331576311,1.9396756202920205,1.0948085626491648
ERCC2,0.21604987245416668,0.21604987245416668,0.21604987245416668,0.18972243163819957,0.21604987245416668
ERCC4,0.22694315469619053,0.22462191691252834,0.22084208958028023,0.18035471849287876,0.20555831530698671
ESPL1,0.1924559591060708,0.19225962738505445,0.1919101171070991,0.15987231608479935,0.19244790861210606
ESR1,1.8824663366339289,1.8724760632377468,1.8624447009967977,4.0625784241736067,1.918004843502727
ETV1,0.59926311310758018,0.59517005166144565,0.5989743487989343,0.59188857066646672,0.60110959436114586
ETV3,0.065353047787986604,0.064102256311925579,0.062698533644858792,0.06353833698729934,0.059995633023613201
EXO1,0.98470838328228483,0.98954554024559349,0.95954555484798576,0.97507170434530743,0.94351568814019027
EXPH5,0.32872921556307916,0.3336467739356252,0.33112183165961223,0.3246891287158245,0.34559884079503972
F2RL3,0.16172612254430715,0.1597762037791319,0.15882220340637154,0.13675234380585868,0.15507153346262276
F2,0.097701740501524387,0.089810473595847901,0.098365101942416891,0.094468003030580172,0.10566365718271885
FANCC,0.1333211760653048,0.13341424885334141,0.1342982158942356,0.13255946160331986,0.14179919114514719
FANCG,0.37965399431238456,0.37915708164550516,0.37527495826585722,0.32866517289678804,0.36519307966137338
FANCI,0.58307139216458792,0.57372284272511265,0.5835650776729806,0.54486135827693793,0.5878111570274116
FASLG,1.3964739392419732,1.4132345194790574,1.3446072072139188,1.6317706185650844,1.3867987339872823
FBP2,1.3548552424947116,1.3541718699656258,1.355009928794584,1.3284922554375185,1.3653456905034551
FEV,0.13232742129629627,0.13232742129629627,0.13232742129629627,0.12288527307255638,0.13232742129629627
FGB,0.56400086022589357,0.56092612070410608,0.55263034272263412,0.56343827096351917,0.67375282811264869
FGFR2,2.1440650557143401,2.1362542577918449,2.1373541864572738,2.0331727764067602,2.1266080369460711
FGFR4,1.1848264569075211,1.1540993850477075,1.0987340879697844,1.1763515760335437,0.95542658589577412
FGL1,1.3121219657964991,1.2785883552066561,1.3155546780597998,1.3078361203509901,1.3367426252587349
FLT1,0.44494942006209315,0.44889517439190457,0.45000980792413542,0.48151667971750767,0.48089520324074903
FLT4,0.10849129924737176,0.10728188949992104,0.10598096721116732,0.1005239623889891,0.10115942577561683
FOLH1,0.79771028310829162,0.78789538408058946,0.78534783302684597,0.70387585805935515,0.75834965090587336
FOXM1,0.96481032034157366,0.96895070474926071,0.9137924206016832,1.0123518545134096,0.87548726423050161
FSHR,0.18156479366514275,0.18178337158336511,0.18216332681977743,0.19366406124274316,0.18564890324877492
FUT3,2.3630420096775184,2.3575016111296581,2.3053303105518377,2.8363525941113608,2.4948030071358098
GAB1,0.34888530312338872,0.34911037081264951,0.35216402810594843,0.34160294592258139,0.36692992155756282
GAD2,0.18325378923872188,0.18280651629835223,0.1823363209577723,0.18788859194859217,0.18052387452591945
GALNT3,1.8565992845978281,1.8756610592547895,1.773607003608981,2.3044346137188647,1.832249625847419
GDF11,0.19030386409483332,0.19152171781219476,0.190175229606901,0.18535468914078582,0.1928660887905923
GFAP,0.080193907920415364,0.079876390173515388,0.079314109080076814,0.086998394823099331,0.077744402621989922
GHRHR,0.089224428267830377,0.088923789358027971,0.088617162070636524,0.076639069202216595,0.087604424808702078
GHRH,1.2773325182802353,1.2644549112497581,1.2458485070231764,1.2078327272497749,1.2600201986205954
