,setup,model,mse,predictors,correlation,sens,spec,prec,params
2895,CIITA_prom,composite,0.20288467312042135,19,,,,,Vote threshold=0.5
510,CLCN5_body,composite,0.7134454148618955,6,,,,,Vote threshold=0.5
2900,CLCN5_prom,composite,0.77462700206048485,4,,,,,Vote threshold=0.5
515,CLDN18_body,composite,0.061381941509129651,1,,,,,Vote threshold=0.5
2905,CLDN18_prom,composite,0.060845136277276696,3,,,,,Vote threshold=0.5
520,CLEC4M_body,composite,0.10476758207750063,3,,,,,Vote threshold=0.5
2910,CLEC4M_prom,composite,0.10887158801061528,4,,,,,Vote threshold=0.5
525,COL14A1_body,composite,1.8955912084395583,9,,,,,Vote threshold=0.5
2915,COL14A1_prom,composite,1.6502609192271731,10,,,,,Vote threshold=0.5
530,COL19A1_body,composite,0.20544603890407806,3,,,,,Vote threshold=0.5
2920,COL19A1_prom,composite,0.24498385393888431,4,,,,,Vote threshold=0.5
535,COL4A3_body,composite,0.30347385338473115,5,,,,,Vote threshold=0.5
540,CPA1_body,composite,0.27623420300131712,3,,,,,Vote threshold=0.5
2925,CPA1_prom,composite,0.27341882618006685,2,,,,,Vote threshold=0.5
545,CPSF6_body,composite,0.13359985889915749,5,,,,,Vote threshold=0.5
2930,CPSF6_prom,composite,0.11369800029182134,4,,,,,Vote threshold=0.5
550,CPT1A_body,composite,0.33289398735493947,1,,,,,Vote threshold=0.5
2935,CPT1A_prom,composite,0.33057902502571629,1,,,,,Vote threshold=0.5
555,CR1_body,composite,0.31496567100438649,4,,,,,Vote threshold=0.5
2940,CR1_prom,composite,0.19615983206764703,5,,,,,Vote threshold=0.5
560,CREBBP_body,composite,0.18129511407498344,5,,,,,Vote threshold=0.5
2945,CREBBP_prom,composite,0.2126671361330896,6,,,,,Vote threshold=0.5
565,CTNND2_body,composite,2.9661892966245409,17,,,,,Vote threshold=0.5
2950,CTNND2_prom,composite,3.5274367782874574,12,,,,,Vote threshold=0.5
570,CTSE_body,composite,0.19172686885053666,1,,,,,Vote threshold=0.5
2955,CTSE_prom,composite,0.19519877909118735,1,,,,,Vote threshold=0.5
575,CTSG_body,composite,2.0434081706223894,16,,,,,Vote threshold=0.5
2960,CTSG_prom,composite,1.8718247745560632,13,,,,,Vote threshold=0.5
580,CUL2_body,composite,0.15289977982514355,4,,,,,Vote threshold=0.5
2965,CUL2_prom,composite,0.1549666712511911,3,,,,,Vote threshold=0.5
585,CYP11B1_body,composite,0.084473839373270923,8,,,,,Vote threshold=0.5
2970,CYP11B1_prom,composite,0.099702132457548498,6,,,,,Vote threshold=0.5
590,CYP21A2_body,composite,1.3133861249285896,8,,,,,Vote threshold=0.5
2975,CYP21A2_prom,composite,1.2281240808864278,11,,,,,Vote threshold=0.5
595,CYP24A1_body,composite,1.593916123321621,10,,,,,Vote threshold=0.5
2980,CYP24A1_prom,composite,1.7886540203826182,14,,,,,Vote threshold=0.5
600,CYP27B1_body,composite,1.6607866913536244,8,,,,,Vote threshold=0.5
2985,CYP27B1_prom,composite,1.2800960340327194,9,,,,,Vote threshold=0.5
605,CYP2A6_body,composite,2.3569295063285232,17,,,,,Vote threshold=0.5
610,CYP2A7_body,composite,2.7016562789686627,16,,,,,Vote threshold=0.5
2990,CYP2A7_prom,composite,2.7499463504822979,13,,,,,Vote threshold=0.5
615,CYP2C9_body,composite,0.31886097477552017,5,,,,,Vote threshold=0.5
2995,CYP2C9_prom,composite,0.32191945338585448,6,,,,,Vote threshold=0.5
620,CYP3A4_body,composite,0.44225072682350858,11,,,,,Vote threshold=0.5
3000,CYP3A4_prom,composite,0.43487177416364486,8,,,,,Vote threshold=0.5
625,CYP3A7_body,composite,0.37218975125859655,9,,,,,Vote threshold=0.5
3005,CYP3A7_prom,composite,0.43355928932842719,13,,,,,Vote threshold=0.5
630,CYP4F2_body,composite,1.1869263549560827,7,,,,,Vote threshold=0.5
3010,CYP4F2_prom,composite,1.5485034776327966,8,,,,,Vote threshold=0.5
635,DAZL_body,composite,0.5686515158021328,4,,,,,Vote threshold=0.5
3015,DAZL_prom,composite,0.50513832901043698,6,,,,,Vote threshold=0.5
